=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:0 step:0(1), a_t=[s=-1.00, t= 0.341279, b= 0.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.30 /  0.30 / -inf, epsilon=  1.000, speed=  0.10, gear= 0, damage= 0.00
Ep:0 step:20(21), a_t=[s= 0.57, t= 0.362532, b= 0.000000], r_t=[r= 32.09, prog= 32.99, pen=-0.90, r_old= 32.09], Reward=  118.97 /  118.97 / -inf, epsilon=  1.000, speed=  11.02, gear= 1, damage= 0.00
Ep:0 step:40(41), a_t=[s=-0.08, t= 0.506601, b= 0.000000], r_t=[r= 91.39, prog= 187.69, pen=-96.30, r_old= 91.39], Reward=  1467.92 /  1467.92 / -inf, epsilon=  1.000, speed=  63.97, gear= 1, damage= 0.00
Ep:0 step:60(61), a_t=[s=-0.48, t= 0.544675, b= 0.000000], r_t=[r= 42.66, prog= 110.84, pen=-68.18, r_old= 42.66], Reward=  1562.78 /  1564.73 / -inf, epsilon=  1.000, speed=  37.22, gear= 1, damage= 367.00
Ep:0 step:80(81), a_t=[s=-0.16, t= 0.545478, b= 0.000000], r_t=[r= 101.43, prog= 207.94, pen=-106.51, r_old= 101.43], Reward=  2732.98 /  2663.48 / -inf, epsilon=  1.000, speed=  69.43, gear= 1, damage= 378.00
META = 1 ... Running backwards
=============================================================
 starting episode: 1/2000
Client connected on 3105..............
Ep:1 step:0(88), a_t=[s=-0.35, t= 0.421304, b= 0.000000], r_t=[r= 0.03, prog= 0.03, pen=-0.00, r_old= 0.03], Reward=  0.03 /  0.03 /  2891.28, epsilon=  1.000, speed=  0.01, gear= 1, damage= 0.00
Ep:1 step:20(108), a_t=[s=-0.02, t= 0.717056, b= 0.000000], r_t=[r= 14.88, prog= 59.44, pen=-44.56, r_old= 14.88], Reward=  720.73 /  720.73 /  2891.28, epsilon=  1.000, speed=  31.58, gear= 1, damage= 0.00
Ep:1 step:40(128), a_t=[s=-0.10, t= 0.437097, b= 0.000000], r_t=[r=-0.15, prog= 0.27, pen=-0.42, r_old=-0.15], Reward=  459.70 /  463.68 /  2891.28, epsilon=  1.000, speed=  0.18, gear= 1, damage= 216.00
Ep:1 step:60(148), a_t=[s=-0.06, t= 0.464525, b= 0.000000], r_t=[r=-0.05, prog= 0.10, pen=-0.14, r_old=-0.05], Reward=  457.80 /  461.79 /  2891.28, epsilon=  1.000, speed=  0.06, gear= 1, damage= 216.00
Ep:1 step:80(168), a_t=[s= 0.49, t= 0.634863, b= 0.000000], r_t=[r=-0.09, prog= 0.27, pen=-0.35, r_old=-0.09], Reward=  455.56 /  459.55 /  2891.28, epsilon=  0.999, speed=  0.15, gear= 1, damage= 216.00
Ep:1 step:100(188), a_t=[s= 0.40, t= 0.518424, b= 0.000000], r_t=[r=-0.10, prog= 0.43, pen=-0.53, r_old=-0.10], Reward=  453.55 /  457.54 /  2891.28, epsilon=  0.999, speed=  0.23, gear= 1, damage= 216.00
Ep:1 step:120(208), a_t=[s=-0.47, t= 0.432594, b= 0.000000], r_t=[r=-0.04, prog= 0.32, pen=-0.36, r_old=-0.04], Reward=  451.67 /  455.65 /  2891.28, epsilon=  0.999, speed=  0.16, gear= 1, damage= 216.00
Ep:1 step:140(228), a_t=[s= 0.33, t= 0.277408, b= 0.000000], r_t=[r=-0.02, prog= 0.62, pen=-0.64, r_old=-0.02], Reward=  450.70 /  454.68 /  2891.28, epsilon=  0.999, speed=  0.29, gear= 1, damage= 216.00
Ep:1 step:160(248), a_t=[s=-0.91, t= 0.415411, b= 0.000000], r_t=[r= 0.04, prog= 0.81, pen=-0.77, r_old= 0.04], Reward=  451.10 /  455.08 /  2891.28, epsilon=  0.999, speed=  0.36, gear= 1, damage= 216.00
Ep:1 step:180(268), a_t=[s= 0.52, t= 0.398548, b= 0.000000], r_t=[r= 0.35, prog= 2.44, pen=-2.09, r_old= 0.35], Reward=  454.02 /  458.01 /  2891.28, epsilon=  0.999, speed=  1.00, gear= 1, damage= 216.00
Ep:1 step:200(288), a_t=[s= 0.26, t= 0.359021, b= 0.000000], r_t=[r= 0.50, prog= 2.25, pen=-1.76, r_old= 0.50], Reward=  461.54 /  465.53 /  2891.28, epsilon=  0.999, speed=  0.86, gear= 1, damage= 216.00
Ep:1 step:220(308), a_t=[s=-0.50, t= 0.511499, b= 0.000000], r_t=[r= 3.27, prog= 9.22, pen=-5.95, r_old= 3.27], Reward=  506.05 /  510.04 /  2891.28, epsilon=  0.999, speed=  3.19, gear= 1, damage= 216.00
Ep:1 step:240(328), a_t=[s=-0.10, t= 0.503588, b= 0.000000], r_t=[r= 20.57, prog= 50.25, pen=-29.68, r_old= 20.57], Reward=  704.03 /  686.35 /  2891.28, epsilon=  0.999, speed=  16.87, gear= 1, damage= 242.00
Ep:1 step:260(348), a_t=[s=-1.00, t= 0.517142, b= 0.000000], r_t=[r=-133.23, prog= 0.06, pen=-133.29, r_old=-132.00], Reward= -634.25 / -572.02 /  2891.28, epsilon=  0.999, speed=  0.49, gear= 2, damage= 2115.00
Ep:1 step:280(368), a_t=[s=-0.71, t= 0.697301, b= 0.000000], r_t=[r=-0.16, prog= 0.01, pen=-0.17, r_old=-0.16], Reward= -638.61 / -576.38 /  2891.28, epsilon=  0.999, speed=  0.07, gear= 1, damage= 2115.00
Ep:1 step:300(388), a_t=[s=-1.00, t= 0.477916, b= 0.030839], r_t=[r=-0.08, prog= 0.00, pen=-0.09, r_old=-0.08], Reward= -641.09 / -578.86 /  2891.28, epsilon=  0.999, speed=  0.03, gear= 1, damage= 2115.00
Ep:1 step:320(408), a_t=[s=-0.43, t= 0.519365, b= 0.000000], r_t=[r=-0.27, prog= 0.01, pen=-0.28, r_old=-0.27], Reward= -643.28 / -581.04 /  2891.28, epsilon=  0.999, speed=  0.11, gear= 1, damage= 2115.00
Ep:1 step:340(428), a_t=[s=-1.00, t= 0.414913, b= 0.000000], r_t=[r= 0.06, prog=-0.01, pen= 0.08, r_old= 0.06], Reward= -645.93 / -583.70 /  2891.28, epsilon=  0.999, speed= -0.12, gear= 1, damage= 2115.00
Ep:1 step:360(448), a_t=[s= 0.40, t= 0.400962, b= 0.000000], r_t=[r=-0.44, prog= 0.02, pen=-0.45, r_old=-0.44], Reward= -649.65 / -587.42 /  2891.28, epsilon=  0.999, speed=  0.17, gear= 1, damage= 2115.00
Ep:1 step:380(468), a_t=[s= 0.48, t= 0.466114, b= 0.000000], r_t=[r=-0.46, prog= 0.02, pen=-0.48, r_old=-0.46], Reward= -653.68 / -591.45 /  2891.28, epsilon=  0.998, speed=  0.18, gear= 1, damage= 2115.00
