=============================================================
 starting episode: 1100/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:1100 step:0(600236), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward= -0.00 / -0.00 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1100 step:20(600256), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen=-0.00, r_old=-0.08], Reward= -0.01 / -0.01 /  4879.33, epsilon=  0.100, speed= -0.03, gear= 1, damage= 0.00
Ep:1100 step:40(600276), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward= -0.18 / -0.18 /  4879.33, epsilon=  0.100, speed= -0.00, gear= 1, damage= 0.00
Ep:1100 step:60(600296), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.95 /  0.95 /  4879.33, epsilon=  0.100, speed=  0.10, gear= 1, damage= 0.00
Ep:1100 step:80(600316), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.34, prog=-0.34, pen=-0.00, r_old=-0.34], Reward=  2.04 /  2.04 /  4879.33, epsilon=  0.100, speed= -0.11, gear= 1, damage= 0.00
Ep:1100 step:100(600336), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.19, prog=-0.19, pen=-0.00, r_old=-0.19], Reward=  1.79 /  1.79 /  4879.33, epsilon=  0.100, speed= -0.06, gear= 1, damage= 0.00
Ep:1100 step:120(600356), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  2.99 /  2.99 /  4879.33, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
Ep:1100 step:140(600376), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.05, pen=-0.00, r_old= 0.05], Reward=  2.59 /  2.59 /  4879.33, epsilon=  0.100, speed=  0.02, gear= 1, damage= 0.00
Ep:1100 step:160(600396), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  2.32 /  2.32 /  4879.33, epsilon=  0.100, speed=  0.00, gear= 1, damage= 0.00
Ep:1100 step:180(600416), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.16, prog= 0.17, pen=-0.00, r_old= 0.16], Reward=  2.43 /  2.43 /  4879.33, epsilon=  0.100, speed=  0.06, gear= 1, damage= 0.00
Ep:1100 step:200(600436), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  3.79 /  3.79 /  4879.33, epsilon=  0.100, speed=  0.05, gear= 1, damage= 0.00
