=============================================================
 starting episode: 200/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:200 step:0(208552), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen= 0.00, r_old=-0.00], Reward= -0.00 / -0.00 /  4879.33, epsilon=  0.365, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:20(208572), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.08, prog=-0.08, pen=-0.00, r_old=-0.08], Reward= -0.01 / -0.01 /  4879.33, epsilon=  0.365, speed= -0.03, gear= 1, damage= 0.00
Ep:200 step:40(208592), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog=-0.00, pen=-0.00, r_old=-0.00], Reward= -0.18 / -0.18 /  4879.33, epsilon=  0.365, speed= -0.00, gear= 1, damage= 0.00
Ep:200 step:60(208612), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.30, prog= 0.30, pen=-0.00, r_old= 0.30], Reward=  0.95 /  0.95 /  4879.33, epsilon=  0.365, speed=  0.10, gear= 1, damage= 0.00
Ep:200 step:80(208632), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.34, prog=-0.34, pen=-0.00, r_old=-0.34], Reward=  2.04 /  2.04 /  4879.33, epsilon=  0.365, speed= -0.11, gear= 1, damage= 0.00
Ep:200 step:100(208652), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.19, prog=-0.19, pen=-0.00, r_old=-0.19], Reward=  1.79 /  1.79 /  4879.33, epsilon=  0.365, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:120(208672), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  2.99 /  2.99 /  4879.33, epsilon=  0.365, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:140(208692), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.05, pen=-0.00, r_old= 0.05], Reward=  2.59 /  2.59 /  4879.33, epsilon=  0.365, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:160(208712), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  2.32 /  2.32 /  4879.33, epsilon=  0.365, speed=  0.00, gear= 1, damage= 0.00
Ep:200 step:180(208732), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.16, prog= 0.17, pen=-0.00, r_old= 0.16], Reward=  2.43 /  2.43 /  4879.33, epsilon=  0.365, speed=  0.06, gear= 1, damage= 0.00
Ep:200 step:200(208752), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.15, prog= 0.15, pen=-0.00, r_old= 0.15], Reward=  3.79 /  3.79 /  4879.33, epsilon=  0.365, speed=  0.05, gear= 1, damage= 0.00
Ep:200 step:220(208772), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.37, prog= 0.38, pen=-0.01, r_old= 0.37], Reward=  3.91 /  3.91 /  4879.33, epsilon=  0.365, speed=  0.13, gear= 1, damage= 0.00
Ep:200 step:240(208792), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.17, prog=-0.17, pen=-0.00, r_old=-0.17], Reward=  3.57 /  3.57 /  4879.33, epsilon=  0.365, speed= -0.06, gear= 1, damage= 0.00
Ep:200 step:260(208812), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.30, prog=-0.29, pen=-0.00, r_old=-0.30], Reward=  6.03 /  6.03 /  4879.33, epsilon=  0.365, speed= -0.10, gear= 1, damage= 0.00
Ep:200 step:280(208832), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  7.50 /  7.50 /  4879.33, epsilon=  0.365, speed=  0.00, gear= 1, damage= 0.00
Ep:200 step:300(208852), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.12, prog= 0.12, pen=-0.00, r_old= 0.12], Reward=  8.55 /  8.55 /  4879.33, epsilon=  0.365, speed=  0.04, gear= 1, damage= 0.00
Ep:200 step:320(208872), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.16, prog=-0.16, pen=-0.00, r_old=-0.16], Reward=  10.16 /  10.16 /  4879.33, epsilon=  0.365, speed= -0.05, gear= 1, damage= 0.00
Ep:200 step:340(208892), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.28, prog=-0.27, pen=-0.00, r_old=-0.28], Reward=  9.83 /  9.83 /  4879.33, epsilon=  0.365, speed= -0.09, gear= 1, damage= 0.00
Ep:200 step:360(208912), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.05, prog= 0.06, pen=-0.00, r_old= 0.05], Reward=  10.22 /  10.22 /  4879.33, epsilon=  0.365, speed=  0.02, gear= 1, damage= 0.00
Ep:200 step:380(208932), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.08, prog= 0.08, pen=-0.00, r_old= 0.08], Reward=  10.69 /  10.69 /  4879.33, epsilon=  0.365, speed=  0.03, gear= 1, damage= 0.00
Ep:200 step:400(208952), a_t=[s=-1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.02, prog=-0.02, pen=-0.00, r_old=-0.02], Reward=  11.29 /  11.29 /  4879.33, epsilon=  0.365, speed= -0.01, gear= 1, damage= 0.00
